Wed Jan 21 14:14:26 2015    profile.data

         63902342 function calls (63900290 primitive calls) in 391.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3048    0.005    0.000    0.005    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.005    0.005 random.py:40(<module>)
     2032    0.005    0.000    0.005    0.000 {numpy.core.multiarray.concatenate}
        1    0.005    0.005    0.005    0.005 matfuncs.py:5(<module>)
        1    0.004    0.004    0.005    0.005 legend.py:13(<module>)
      127    0.004    0.000    0.005    0.000 Go_trials.py:41(get_inhib_tonic)
      832    0.003    0.000    0.005    0.000 inspect.py:744(getargs)
        1    0.001    0.001    0.005    0.005 data.py:7(<module>)
        1    0.005    0.005    0.005    0.005 blas.py:133(<module>)
       11    0.000    0.000    0.005    0.000 artist.py:865(__init__)
      775    0.000    0.000    0.005    0.000 _methods.py:40(_all)
       11    0.002    0.000    0.005    0.000 artist.py:883(get_aliases)
        1    0.002    0.002    0.005    0.005 cm.py:6(<module>)
        1    0.001    0.001    0.005    0.005 _internal.py:6(<module>)
     3034    0.001    0.000    0.004    0.000 sre_parse.py:210(get)
6616/6607    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     1657    0.004    0.000    0.004    0.000 {numpy.core.multiarray.arange}
      508    0.001    0.000    0.004    0.000 {method 'sum' of 'numpy.ndarray' objects}
     2800    0.004    0.000    0.004    0.000 numeric.py:2524(geterr)
      127    0.003    0.000    0.004    0.000 arrayprint.py:639(__init__)
        1    0.001    0.001    0.004    0.004 polynomial.py:4(<module>)
        1    0.000    0.000    0.004    0.004 font_manager.py:942(pickle_load)
        1    0.003    0.003    0.004    0.004 cbook.py:7(<module>)
      407    0.001    0.000    0.004    0.000 artist.py:911(get_valid_values)
        1    0.000    0.000    0.004    0.004 decimal.py:116(<module>)
        1    0.001    0.001    0.004    0.004 lines.py:4(<module>)
      508    0.004    0.000    0.004    0.000 stats.py:4127(chisqprob)
        1    0.004    0.004    0.004    0.004 npyio.py:1(<module>)
     3611    0.003    0.000    0.004    0.000 sre_parse.py:191(__next)
        1    0.001    0.001    0.004    0.004 subprocess.py:14(<module>)
     2676    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.003    0.003    0.004    0.004 axis.py:3(<module>)
        1    0.003    0.003    0.004    0.004 {cPickle.load}
      508    0.004    0.000    0.004    0.000 {method 'partition' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.004    0.004 parser.py:7(<module>)
       76    0.001    0.000    0.004    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.004    0.004 text.py:3(<module>)
      508    0.000    0.000    0.004    0.000 _methods.py:31(_sum)
        1    0.003    0.003    0.004    0.004 polynomial.py:55(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:52(<module>)
        1    0.003    0.003    0.004    0.004 mstats.py:76(<module>)
        1    0.003    0.003    0.003    0.003 lil.py:2(<module>)
